══════════════════════════════════════════════════════════════════════════════════════════
  SIMULACIÓN SO  –  2026/07/06 08:00:16
══════════════════════════════════════════════════════════════════════════════════════════
PROCESO              CUANTUM    ESTADO                 TRANSICIÓN             PRIORIDAD  RECURSO         MEMORIA   
────────────────────────────────────────────────────────────────────────────────────────────────────
1                    15         Listo                  Despachado             1          —               75 Kb     
2                    5          Listo                  Despachado             1          —               135 Kb    
1                    10         Ejecución              Vuelve a cola          1          Op. matemática  75 Kb     
3                    2          Listo                  Despachado             6          —               64 Kb     
2                    0          Ejecución              Terminado              1          —               135 Kb    
3                    0          Ejecución              Terminado              6          —               64 Kb     
1                    10         Listo                  Despachado             1          —               75 Kb     
4                    10         Listo                  Despachado             7          —               92 Kb     
2                    0          Ejecución              Terminado              1          —               135 Kb    
5                    2          Listo                  Despachado             10         —               172 Kb    
3                    0          Ejecución              Terminado              6          —               64 Kb     
1                    5          Ejecución              Vuelve a cola          1          Op. matemática  75 Kb     
4                    5          Ejecución              Vuelve a cola          7          Op. matemática  92 Kb     
6                    3          Listo                  Despachado             10         —               89 Kb     
5                    0          Ejecución              Terminado              10         —               172 Kb    
6                    0          Ejecución              Terminado              10         —               89 Kb     
1                    5          Listo                  Despachado             1          —               75 Kb     
5                    0          Ejecución              Terminado              10         —               172 Kb    
4                    5          Listo                  Despachado             7          —               92 Kb     
7                    3          Listo                  Despachado             6          —               126 Kb    
6                    0          Ejecución              Terminado              10         —               89 Kb     
1                    0          Ejecución              Terminado              1          —               75 Kb     
8                    3          Listo                  Despachado             4          —               107 Kb    
4                    0          Ejecución              Terminado              7          —               92 Kb     
7                    0          Ejecución              Terminado              6          —               126 Kb    
1                    0          Ejecución              Terminado              1          —               75 Kb     
9                    11         Listo                  Despachado             4          —               73 Kb     
8                    0          Ejecución              Terminado              4          —               107 Kb    
4                    0          Ejecución              Terminado              7          —               92 Kb     
10                   15         Listo                  Despachado             3          —               137 Kb    
7                    0          Ejecución              Terminado              6          —               126 Kb    
9                    6          Ejecución              Bloqueado              4          Bocinas         73 Kb     
11                   8          Listo                  Despachado             4          —               158 Kb    
8                    0          Ejecución              Terminado              4          —               107 Kb    
10                   10         Ejecución              Bloqueado              3          Bocinas         137 Kb    
12                   9          Listo                  Despachado             6          —               108 Kb    
9                    6          Bloqueado              Bloqueado              4          —               73 Kb     
9                    6          Bloqueado              Suspendido-bloqueado   4          —               73 Kb     
11                   3          Ejecución              Bloqueado              4          Bocinas         158 Kb    
13                   7          Listo                  Despachado             6          —               128 Kb    
10                   10         Bloqueado              Bloqueado              3          —               137 Kb    
10                   10         Bloqueado              Bloqueado              3          —               137 Kb    
10                   10         Bloqueado              Bloqueado              3          —               137 Kb    
10                   10         Bloqueado              Bloqueado              3          —               137 Kb    
10                   10         Bloqueado              Bloqueado              3          —               137 Kb    
10                   10         Bloqueado              Bloqueado              3          —               137 Kb    
10                   10         Bloqueado              Bloqueado              3          —               137 Kb    
10                   10         Bloqueado              Suspendido-bloqueado   3          —               137 Kb    
12                   4          Ejecución              Vuelve a cola          6          Op. matemática  108 Kb    
14                   15         Listo                  Despachado             1          —               99 Kb     
11                   3          Bloqueado              Bloqueado              4          —               158 Kb    
11                   3          Bloqueado              Despertar              4          —               158 Kb    
