══════════════════════════════════════════════════════════════════════════════════════════
  SIMULACIÓN SO  –  2026/07/05 21:04:01
══════════════════════════════════════════════════════════════════════════════════════════
PROCESO              CUANTUM    ESTADO                 TRANSICIÓN             PRIORIDAD  RECURSO         MEMORIA   
────────────────────────────────────────────────────────────────────────────────────────────────────
1                    12         Listo                  Despachado             5          —               83 Kb     
2                    14         Listo                  Despachado             7          —               87 Kb     
1                    7          Ejecución              Vuelve a cola          5          Op. matemática  83 Kb     
3                    14         Listo                  Despachado             3          —               89 Kb     
2                    9          Ejecución              Bloqueado              7          Bocinas         87 Kb     
3                    9          Ejecución              Vuelve a cola          3          Op. matemática  89 Kb     
1                    7          Listo                  Despachado             5          —               83 Kb     
4                    14         Listo                  Despachado             5          —               5 Kb      
2                    9          Bloqueado              Bloqueado              7          —               87 Kb     
2                    9          Bloqueado              Suspendido-bloqueado   7          —               87 Kb     
1                    2          Ejecución              Bloqueado              5          Monitor         83 Kb     
4                    9          Ejecución              Bloqueado              5          Monitor         5 Kb      
3                    9          Listo                  Despachado             3          —               89 Kb     
5                    5          Listo                  Despachado             5          —               62 Kb     
6                    7          Listo                  Despachado             8          —               22 Kb     
1                    2          Bloqueado              Bloqueado              5          —               83 Kb     
1                    2          Bloqueado              Suspendido-bloqueado   5          —               83 Kb     
4                    9          Bloqueado              Bloqueado              5          —               5 Kb      
4                    9          Bloqueado              Bloqueado              5          —               5 Kb      
4                    9          Bloqueado              Bloqueado              5          —               5 Kb      
4                    9          Bloqueado              Suspendido-bloqueado   5          —               5 Kb      
2                    9          Suspendido-bloqueado   Suspendido-bloqueado   7          —               87 Kb     
2                    9          Suspendido-bloqueado   Suspendido-listo       7          —               87 Kb     
3                    4          Ejecución              Vuelve a cola          3          Op. matemática  89 Kb     
5                    0          Ejecución              Terminado              5          —               62 Kb     
7                    5          Listo                  Despachado             1          —               36 Kb     
6                    2          Ejecución              Vuelve a cola          8          Op. matemática  22 Kb     
2                    9          Suspendido-Listo       Formado                7          —               87 Kb     
5                    0          Ejecución              Terminado              5          —               62 Kb     
7                    0          Ejecución              Terminado              1          —               36 Kb     
3                    4          Listo                  Despachado             3          —               89 Kb     
1                    2          Suspendido-bloqueado   Suspendido-bloqueado   5          —               83 Kb     
1                    2          Suspendido-bloqueado   Suspendido-listo       5          —               83 Kb     
4                    9          Suspendido-bloqueado   Suspendido-bloqueado   5          —               5 Kb      
4                    9          Suspendido-bloqueado   Suspendido-listo       5          —               5 Kb      
7                    0          Ejecución              Terminado              1          —               36 Kb     
3                    0          Ejecución              Terminado              3          —               89 Kb     
2                    9          Listo                  Despachado             7          —               87 Kb     
1                    2          Suspendido-Listo       Formado                5          —               83 Kb     
4                    9          Suspendido-Listo       Formado                5          —               5 Kb      
6                    2          Listo                  Despachado             8          —               22 Kb     
8                    5          Listo                  Despachado             3          —               14 Kb     
2                    4          Ejecución              Vuelve a cola          7          Op. matemática  87 Kb     
3                    0          Ejecución              Terminado              3          —               89 Kb     
9                    14         Listo                  Despachado             7          —               37 Kb     
6                    0          Ejecución              Terminado              8          —               22 Kb     
8                    0          Ejecución              Terminado              3          —               14 Kb     
1                    2          Listo                  Despachado             5          —               83 Kb     
9                    9          Ejecución              Vuelve a cola          7          Op. matemática  37 Kb     
6                    0          Ejecución              Terminado              8          —               22 Kb     
8                    0          Ejecución              Terminado              3          —               14 Kb     
2                    4          Listo                  Despachado             7          —               87 Kb     
1                    0          Ejecución              Terminado              5          —               83 Kb     
4                    9          Listo                  Despachado             5          —               5 Kb      
2                    0          Ejecución              Terminado              7          —               87 Kb     
9                    9          Listo                  Despachado             7          —               37 Kb     
1                    0          Ejecución              Terminado              5          —               83 Kb     
4                    4          Ejecución              Bloqueado              5          Monitor         5 Kb      
10                   7          Listo                  Despachado             6          —               28 Kb     
2                    0          Ejecución              Terminado              7          —               87 Kb     
9                    4          Ejecución              Bloqueado              7          Impresora       37 Kb     
11                   5          Listo                  Despachado             3          —               9 Kb      
4                    4          Bloqueado              Bloqueado              5          —               5 Kb      
4                    4          Bloqueado              Bloqueado              5          —               5 Kb      
4                    4          Bloqueado              Bloqueado              5          —               5 Kb      
4                    4          Bloqueado              Suspendido-bloqueado   5          —               5 Kb      
10                   2          Ejecución              Bloqueado              6          Bocinas         28 Kb     
12                   15         Listo                  Despachado             1          —               87 Kb     
9                    4          Bloqueado              Bloqueado              7          —               37 Kb     
9                    4          Bloqueado              Suspendido-bloqueado   7          —               37 Kb     
11                   0          Ejecución              Terminado              3          —               9 Kb      
13                   4          Listo                  Despachado             10         —               21 Kb     
10                   2          Bloqueado              Bloqueado              6          —               28 Kb     
10                   2          Bloqueado              Bloqueado              6          —               28 Kb     
10                   2          Bloqueado              Bloqueado              6          —               28 Kb     
10                   2          Bloqueado              Suspendido-bloqueado   6          —               28 Kb     
12                   10         Ejecución              Vuelve a cola          1          Op. matemática  87 Kb     
14                   7          Listo                  Despachado             5          —               62 Kb     
11                   0          Ejecución              Terminado              3          —               9 Kb      
4                    4          Suspendido-bloqueado   Suspendido-bloqueado   5          —               5 Kb      
4                    4          Suspendido-bloqueado   Suspendido-listo       5          —               5 Kb      
13                   0          Ejecución              Terminado              10         —               21 Kb     
9                    4          Suspendido-bloqueado   Suspendido-bloqueado   7          —               37 Kb     
9                    4          Suspendido-bloqueado   Bloqueado              7          —               37 Kb     
14                   2          Ejecución              Vuelve a cola          5          Op. matemática  62 Kb     
4                    4          Suspendido-Listo       Formado                5          —               5 Kb      
12                   10         Listo                  Despachado             1          —               87 Kb     
15                   11         Listo                  Despachado             3          —               96 Kb     
13                   0          Ejecución              Terminado              10         —               21 Kb     
10                   2          Suspendido-bloqueado   Suspendido-bloqueado   6          —               28 Kb     
10                   2          Suspendido-bloqueado   Suspendido-listo       6          —               28 Kb     
12                   5          Ejecución              Vuelve a cola          1          Op. matemática  87 Kb     
15                   6          Ejecución              Bloqueado              3          Teclado         96 Kb     
10                   2          Suspendido-Listo       Formado                6          —               28 Kb     
9                    4          Bloqueado              Bloqueado              7          —               37 Kb     
9                    4          Bloqueado              Suspendido-bloqueado   7          —               37 Kb     
4                    4          Listo                  Despachado             5          —               5 Kb      
15                   6          Bloqueado              Bloqueado              3          —               96 Kb     
15                   6          Bloqueado              Despertar              3          —               96 Kb     
4                    0          Ejecución              Terminado              5          —               5 Kb      
10                   2          Listo                  Despachado             6          —               28 Kb     
12                   5          Listo                  Despachado             1          —               87 Kb     
14                   2          Listo                  Despachado             5          —               62 Kb     
16                   15         Listo                  Despachado             10         —               10 Kb     
9                    4          Suspendido-bloqueado   Suspendido-bloqueado   7          —               37 Kb     
9                    4          Suspendido-bloqueado   Suspendido-listo       7          —               37 Kb     
4                    0          Ejecución              Terminado              5          —               5 Kb      
